0,1,2,3,4,5,6,Filename
0.065547444,0.004826903,0.04031962,0.6686585,0.13184929,0.077994354,0.010803793,happy\PrivateTest_10077120.jpg
0.09315376,0.005795047,0.09531935,0.28572357,0.20988834,0.27379337,0.03632653,happy\PrivateTest_10470092.jpg
0.18877666,0.0070043528,0.12980957,0.3727564,0.0894863,0.17199695,0.040169846,happy\PrivateTest_10513598.jpg
0.11684002,0.015564487,0.19544062,0.13729773,0.1412839,0.22331913,0.17025404,happy\PrivateTest_10516065.jpg
0.022481253,0.00044459561,0.009265188,0.9043956,0.03955528,0.021646,0.0022120995,happy\PrivateTest_10613684.jpg
0.16162987,0.018539282,0.16809167,0.17469035,0.10592537,0.2724766,0.09864683,happy\PrivateTest_10736786.jpg
0.19976315,0.0011094414,0.07711541,0.40276587,0.09599929,0.2165167,0.0067301,happy\PrivateTest_11070306.jpg
0.18160519,0.014248007,0.13585885,0.21824162,0.16063145,0.25369668,0.035718184,happy\PrivateTest_11155116.jpg
0.18711735,0.014861657,0.16112879,0.14803486,0.107073106,0.3083724,0.07341177,happy\PrivateTest_11281040.jpg
0.19875117,0.012762875,0.099326596,0.29612318,0.18025887,0.18946473,0.023312636,happy\PrivateTest_11288161.jpg
0.10617533,0.011463947,0.119657576,0.48792985,0.08695201,0.13036257,0.057458736,happy\PrivateTest_1140198.jpg
0.1583708,0.012973573,0.12242138,0.23626694,0.16027938,0.27553558,0.034152318,happy\PrivateTest_11807115.jpg
0.019246455,0.0005792807,0.014211179,0.89649045,0.04184954,0.022348497,0.0052745845,happy\PrivateTest_12052491.jpg
0.096284844,0.005494124,0.094746895,0.32959887,0.20451185,0.2399487,0.029414715,happy\PrivateTest_12222047.jpg
0.16601609,0.010185139,0.097907834,0.21967898,0.19435227,0.28922814,0.02263148,happy\PrivateTest_12260258.jpg
0.08979647,0.005988296,0.06391591,0.5144149,0.15469092,0.15468368,0.016509848,happy\PrivateTest_12306951.jpg
